
                                      CodeAnalysis - Version 1.4
    ==============================================================================================
     Wed Dec  6 23:30:46 2017
     Path: "C:\Users\trent\Desktop\Yuan Liu-project4"
     Args: *.h, *.cpp, *.cs, /v, /m, /r, /f
                                                                               
           Code Metrics - Start Line, Size (lines/code), and Complexity (number of scopes)
    ==============================================================================================

                 file name        type                               name    line    size    cplx
            testDriver1.cs    function                               test      17       4       1
            testDriver1.cs   namespace                               test       8      15       4
            testDriver1.cs   interface                              ITest      10       3       1
            testDriver1.cs       class                         TestDriver      15       8       2
            testDriver1.cs    function                               test      17       4       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
            testDriver2.cs   namespace                               test       8      16       4
            testDriver2.cs   interface                              ITest      10       3       1
            testDriver2.cs       class                         TestDriver      15       8       2
            testDriver2.cs    function                               test      17       4       1
            testDriver2.cs   namespace                               test       8      16       4
            testDriver2.cs   interface                              ITest      10       3       1
            testDriver2.cs       class                         TestDriver      15       8       2
            testDriver2.cs    function                               test      17       4       1
            testDriver2.cs   namespace                               test       8      16       4
            testDriver2.cs   interface                              ITest      10       3       1
            testDriver2.cs       class                         TestDriver      15       8       2
            testDriver2.cs    function                               test      17       4       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                tested1.cs   namespace                               test       8       9       3
                tested1.cs       class                             tested      10       7       2
                tested1.cs    function                                say      12       3       1
                tested1.cs   namespace                               test       8       9       3
                tested1.cs       class                             tested      10       7       2
                tested1.cs    function                                say      12       3       1
                tested1.cs   namespace                               test       8       9       3
                tested1.cs       class                             tested      10       7       2
                tested1.cs    function                                say      12       3       1
                tested1.cs   namespace                               test       8       9       3
                tested1.cs       class                             tested      10       7       2
                tested1.cs    function                                say      12       3       1
                tested1.cs   namespace                               test       8       9       3
                tested1.cs       class                             tested      10       7       2
                tested1.cs    function                                say      12       3       1
                tested1.cs   namespace                               test       8       9       3
                tested1.cs       class                             tested      10       7       2
                tested1.cs    function                                say      12       3       1

                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
                tested2.cs   namespace                               test       8      10       3
                tested2.cs       class                             tested      10       8       2
                tested2.cs    function                                say      12       4       1
                tested2.cs   namespace                               test       8      10       3
                tested2.cs       class                             tested      10       8       2
                tested2.cs    function                                say      12       4       1
                tested2.cs   namespace                               test       8      10       3
                tested2.cs       class                             tested      10       8       2
                tested2.cs    function                                say      12       4       1

                          Functions Exceeding Metric Limits and Public Data
    ==============================================================================================
                 file name        type                               name    line    size    cplx
    -----------------------  ----------  ---------------------------------  ------  ------  ------
         MainWindow.g.i.cs    function       DebuggerNonUserCodeAttribute     206     117       2



    searched   168 dirs
   processed    80 files
